Prebivalstvo, staro 15 ali več let po: STATISTIČNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
Gorenjska;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
;;;;;;;;
15-19 let;23;14;7;27;15;10;15;9
20-24 let;486;509;517;469;432;440;400;378
25-29 let;2621;2585;2572;2489;2371;2277;2223;2176
30-34 let;5583;5359;5266;5023;4850;4691;4505;4589
35-39 let;7450;7357;7020;6925;6788;6448;6214;6257
40-44 let;8975;8624;8394;8101;7858;7637;7480;7250
45-49 let;10075;9915;9735;9478;9164;8844;8455;8283
50-54 let;10154;10004;9992;9919;9882;9658;9504;9345
55-59 let;10024;10094;9913;9751;9636;9691;9513;9440
60-64 let;8471;8712;8934;9164;9261;9265;9363;9176
65-69 let;6427;6457;6646;6759;7046;7662;7903;8087
70-74 let;5634;5652;5748;5835;5773;5436;5537;5727
75-79 let;3751;3944;4052;4118;4267;4347;4361;4452
80-84 let;1970;2105;2226;2311;2354;2458;2589;2647
85-89 let;590;626;729;797;875;972;1052;1128
90-94 let;99;106;107;131;150;175;175;198
95-99 let;17;17;13;10;9;14;19;26
100 + let;1;1;3;4;0;0;0;0

